,title,article_url
0,[新聞] 「NewJeans」登陸台灣麥當勞！ 6款超萌,https://www.ptt.cc/bbs/KoreaStar/M.1697771687.A.A80.html
1,[新聞] 麥當勞xNewJeans聯名登台!官方證實10/25,https://www.ptt.cc/bbs/KoreaStar/M.1697713089.A.C91.html
2,[閒聊] NewJeans Ditto Challenge x BTS Jungkook,https://www.ptt.cc/bbs/KoreaStar/M.1697471947.A.460.html
3,[閒聊] NewJeans 2023 TMA Dance Practice,https://www.ptt.cc/bbs/KoreaStar/M.1696953572.A.A23.html
4,[新聞] NewJeans全員精品大使成「BP第二」！時尚,https://www.ptt.cc/bbs/KoreaStar/M.1696939892.A.669.html
5,[閒聊] Fact Music Awards(NewJeans、員瑛俞真),https://www.ptt.cc/bbs/KoreaStar/M.1696932008.A.C50.html
6,[閒聊] NewJeans TMA活動紅毯新聞照,https://www.ptt.cc/bbs/KoreaStar/M.1696929811.A.630.html
7,[閒聊] NewJeans SK電訊iPhone 15廣告,https://www.ptt.cc/bbs/KoreaStar/M.1696607994.A.E9F.html
8,[新聞] 【韓娛熱議】NewJeans成員機場為Hanni慶生！超真實反應惹網,https://www.ptt.cc/bbs/KoreaStar/M.1696588725.A.726.html
9,[閒聊] NewJeans-GODS LoL世界賽主題曲,https://www.ptt.cc/bbs/KoreaStar/M.1696396260.A.000.html
10,[閒聊] 看到Chloe Moretz和別的藝人親吻臉頰後很慌張的NewJeans惠仁,https://www.ptt.cc/bbs/KoreaStar/M.1696342491.A.0A5.html
11,[閒聊] NewJeans中秋節韓服畫報,https://www.ptt.cc/bbs/KoreaStar/M.1695888675.A.CA0.html
12,[新聞] NewJeans演唱LoL世界賽主題曲..,https://www.ptt.cc/bbs/KoreaStar/M.1695771697.A.207.html
13,[閒聊] NewJeans Hanni以金髮造型參加Gucci秀,https://www.ptt.cc/bbs/KoreaStar/M.1695394694.A.969.html
14,[新聞] NewJeans入學《哈利波特》霍格華茲？神顏,https://www.ptt.cc/bbs/KoreaStar/M.1695365888.A.6AE.html
15,[新聞] NewJeans談團隊特色 盼辦演唱會與粉絲交流,https://www.ptt.cc/bbs/KoreaStar/M.1695222973.A.BD3.html
16,[閒聊] 最喜歡NewJeans Haerin的哪一種髮型呢？,https://www.ptt.cc/bbs/KoreaStar/M.1695052674.A.CD6.html
17,[閒聊] BTS V x NewJeans慢舞挑戰,https://www.ptt.cc/bbs/KoreaStar/M.1694879582.A.424.html
18,[新聞] 梁朝偉開出三條件 無酬客串NewJeans MV,https://www.ptt.cc/bbs/KoreaStar/M.1694247727.A.921.html
19,[閒聊] 當NewJeans成員solo時，誰會是第一個？,https://www.ptt.cc/bbs/KoreaStar/M.1694188773.A.80A.html
20,[新聞] NewJeans登場! Levi's 2023秋冬廣告公開,https://www.ptt.cc/bbs/KoreaStar/M.1694170641.A.499.html
21,[新聞] BTS、BLACKPINK與NewJeans一起吃飯？！,https://www.ptt.cc/bbs/KoreaStar/M.1694102307.A.B64.html
22,[閒聊] NewJeans飛天小女警Line貼圖,https://www.ptt.cc/bbs/KoreaStar/M.1694057925.A.A21.html
23,[閒聊] 《滾石 》雜誌封面-NewJeans全員黑髮造型,https://www.ptt.cc/bbs/KoreaStar/M.1694015963.A.EFE.html
24,Fw: [新聞]首爾大學生不滿校慶邀NewJeans！竟讓戲子來,https://www.ptt.cc/bbs/KoreaStar/M.1693895264.A.D86.html
25,[閒聊] NewJeans諧潾因為第一次和Dior負責人打,https://www.ptt.cc/bbs/KoreaStar/M.1693665286.A.3DE.html
26,[新聞] NewJeans成為PEPERO全球代言人,https://www.ptt.cc/bbs/KoreaStar/M.1693534888.A.AC3.html
27,[閒聊] NewJeans x STONEHENgE 2023秋季畫報,https://www.ptt.cc/bbs/KoreaStar/M.1693491436.A.485.html
28,[新聞] 林俊傑合體人氣女團NewJeans！網驚呼：,https://www.ptt.cc/bbs/KoreaStar/M.1693321600.A.E46.html
29,[閒聊] 沒想到居然沒拿過Melon日榜第一的NewJeans,https://www.ptt.cc/bbs/KoreaStar/M.1692968661.A.683.html
30,[閒聊] NewJeans Hyein惠仁的親哥哥,https://www.ptt.cc/bbs/KoreaStar/M.1692881503.A.CA3.html
31,[新聞] NewJeans參與韓版想見你OST+正式預告,https://www.ptt.cc/bbs/KoreaStar/M.1692846664.A.4A4.html
32,[新聞] NewJeans連6週入告示牌榜舊作日本白金認證,https://www.ptt.cc/bbs/KoreaStar/M.1692805674.A.448.html
33,[閒聊] NewJeans x BTS V 'Hype Boy' Challenge,https://www.ptt.cc/bbs/KoreaStar/M.1692716676.A.CCF.html
34,[閒聊] NewJeans @SUMMER SONIC 人潮,https://www.ptt.cc/bbs/KoreaStar/M.1692438857.A.CA9.html
35,[新聞] NewJeans成員Minji左肩上「突現刺青」本,https://www.ptt.cc/bbs/KoreaStar/M.1692362319.A.5B2.html
36,[閒聊] 今天前往日本的NewJeans,https://www.ptt.cc/bbs/KoreaStar/M.1692285662.A.2D6.html
37,[新聞] 對於Lisa遭到NewJeans粉絲帳號的惡評BP,https://www.ptt.cc/bbs/KoreaStar/M.1692237313.A.C6B.html
38,[閒聊] NewJeans練習2年也不會厭倦 所以覺得會,https://www.ptt.cc/bbs/KoreaStar/M.1692199552.A.1E2.html
39,[新聞] NewJeans成為現代免稅店代言人,https://www.ptt.cc/bbs/KoreaStar/M.1691989948.A.FFF.html
